"","accord","also","australia","bank","end","interest","much","nation","now","rate","australian","get","larg","one","report","that","time","age","around","back","found","short","old","like"
"Business1.txt",1,2,1,1,1,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Business2.txt",0,0,0,3,0,2,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"Business3.txt",1,1,2,3,1,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0
"Business4.txt",0,1,0,1,1,0,0,2,1,0,2,0,0,0,1,0,1,5,1,1,0,0,0,0
"Business5.txt",1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Health1.txt",0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
"Health2.txt",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
"Health3.txt",0,0,0,0,1,0,1,1,0,2,0,2,0,0,2,0,0,1,0,0,0,0,2,1
"Health4.txt",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
"Health5.txt",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
"Science1.txt",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0
"Science2.txt",0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
"Science3.txt",0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,1,2,1,0,1
"Science4.txt",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"Science5.txt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0
